0,,,,,,,,""
1,1,Brandon,Haraway,G,6'2",180,FR,"Norwalk, OH"
2,,,,,,,,""
3,3,Colin,Nieberding,G,6'1",170,JR,"Avon, OH"
4,4,Dylan,Beaugard,G,5'8",185,SO,"Wilmington, OH"
5,5,Aaron,Thompson,G,6'3",185,JR,"Toledo, OH"
6,,,,,,,,""
7,,,,,,,,""
8,,,,,,,,""
9,,,,,,,,""
10,10,Luke,Metzger,G,6'1",170,FR,"Maumee, OH"
11,11,Rodrick,Caldwell,G,6'0",170,SR,"Dayton, OH"
12,,,,,,,,""
13,,,,,,,,""
14,14,Kevin,Mealwitz,G,6'2",175,FR,"LaGrange, OH"
15,15,Drew,Noble,C,6'8",230,SR,"Louisville, OH"
16,,,,,,,,""
17,,,,,,,,""
18,,,,,,,,""
19,,,,,,,,""
20,20,Anton,Webb,G/F,6'8",185,FR,"Miamisburg, OH"
21,,,,,,,,""
22,22,CJ,Karsatos,F,6'7",190,FR,"Columbus, OH"
23,23,Bryce,Drews,F,6'4",200,FR,"Hillsdale, MI"
24,,,,,,,,""
25,,,,,,,,""
26,,,,,,,,""
27,,,,,,,,""
28,,,,,,,,""
29,,,,,,,,""
30,,,,,,,,""
31,,,,,,,,""
32,32,Matt,Mealwitz,G,6'4",175,FR,"LaGrange, OH"
33,33,Ethan,Conley,G,6'5",185,FR,"Englewood, OH"
34,34,Parker,Brady,G,6'3",190,SR,"Lancaster, OH"
35,,,,,,,,""
36,,,,,,,,""
37,,,,,,,,""
38,,,,,,,,""
39,,,,,,,,""
40,40,Derek,Koch,F,6'8",250,JR,"West Salem, OH"
41,,,,,,,,""
42,42,Andrew,Keep,F,6'4",185,FR,"Hilliard, OH"
43,,,,,,,,""
44,,,,,,,,""
45,45,LaMar,Sharpe,C,6'7",200,FR,"Canton, OH"
46,,,,,,,,""
47,,,,,,,,""
48,,,,,,,,""
49,,,,,,,,""
50,50,Josh,Hlavaty,F,6'5",190,SO,"Jeromesville, OH"
51,,,,,,,,""
52,,,,,,,,""
53,,,,,,,,""
54,,,,,,,,""
55,,,,,,,,""
56,,,,,,,,""
57,,,,,,,,""
58,,,,,,,,""
59,,,,,,,,""
60,,,,,,,,""
61,,,,,,,,""
62,,,,,,,,""
63,,,,,,,,""
64,,,,,,,,""
65,,,,,,,,""
66,,,,,,,,""
67,,,,,,,,""
68,,,,,,,,""
69,,,,,,,,""
70,,,,,,,,""
71,,,,,,,,""
72,,,,,,,,""
73,,,,,,,,""
74,,,,,,,,""
75,,,,,,,,""
76,,,,,,,,""
77,,,,,,,,""
78,,,,,,,,""
79,,,,,,,,""
80,,,,,,,,""
81,,,,,,,,""
82,,,,,,,,""
83,,,,,,,,""
84,,,,,,,,""
85,,,,,,,,""
86,,,,,,,,""
87,,,,,,,,""
88,,,,,,,,""
89,,,,,,,,""
90,,,,,,,,""
91,,,,,,,,""
92,,,,,,,,""
93,,,,,,,,""
94,,,,,,,,""
95,,,,,,,,""
96,,,,,,,,""
97,,,,,,,,""
98,,,,,,,,""
99,,,,,,,,""
Problem processing: 
