0,,,,,,, ,,""
1,1,Kaitlyn,Beebe,S,Setter,5'10", ,FR,"Aurora, IL"
2,2,Kendall,Yerkes,L/DS,Defensive Specialist,5'10", ,SR,"Palos Heights, IL"
3,3,Frankie,Cavallaro,S,Setter,5'10", ,SR,"West Dundee, IL"
4,4,Sydney,Vuksinic,DS/L,Defensive Specialist,5'7", ,FR,"Naperville, IL"
5,5,Brooke,Binkley,S/DS,Defensive Specialist,5'1", ,SO,"Holland, MI"
6,6,Fernanda,Spengler,OH,Outside Hitter,5'9", ,SO,"Santa Cruz, Bolivia"
7,7,Emma,Clines,MB/RS,MB/RS,5'11", ,FR,"Bluffton, IN"
8,8,Rachel,Jacquay,S,Setter,5'7", ,FR,"Fort Wayne, IN"
9,9,Ali,Thompson,MB/RS,MB/RS,5'10", ,SO,"Cincinnati, OH"
10,10,Karlie,Kucharczyk,OH,Outside Hitter,5'11", ,FR,"Battle Creek, MI"
11,,,,,,, ,,""
12,12,Abby,Graham,OH,Outside Hitter,5'10", ,SO,"St. Charles, IL"
13,13,Cameryn,Brown,MB,Middle Blocker,6'0", ,SO,"Caro, MI"
14,14,Sarah,Wight,MB/RS,MB/RS,6'2", ,FR,"Port Huron, MI"
15,15,Kaily,Grulke,MB,Middle Blocker,6'1", ,SO,"Warren, MI"
16,16,Camille,Hurta,OH,Outside Hitter,6'1", ,FR,"Palos Hills, ILL."
17,17,Jaeli,Primus,MB,Middle Blocker,5'11", ,FR,"Hudsonville, MI"
18,18,Mattie,McCabe,MB,Middle Blocker,6'1", ,FR,"Oak Lawn, IL"
19,,,,,,, ,,""
20,20,Haley,Blaney,DS/L,Defensive Specialist,5'5", ,FR,"Saline, MI"
21,,,,,,, ,,""
