0,,,,,,, ,,""
1,1,Emilia,Widen,MB,Middle Blocker,6'2", ,SR,"Burnsville, MN"
2,2,Megan,Utlak,DS,Defensive Specialist,5'6", ,JR,"Parma, OH"
3,,,,,,, ,,""
4,4,Rachel,Ping,MB,Middle Blocker,6'1", ,SR,"Batavia, IL"
5,5,Grace,Novotny,DS,Defensive Specialist,5'9", ,SO,"Wauwatosa, WI"
6,6,Anna,Jonynas,OH,Outside Hitter,5'9", ,JR,"Orland Park, IL"
7,7,Kristine,Fink,DS,Defensive Specialist,5'7", ,SR,"Scarsdale, NY"
8,8,MacAulay,Petersen,OH,Outside Hitter,5'10", ,JR,"Paw Paw, MI"
9,,,,,,, ,,""
10,10,Briana,Sharkey,S,Setter,5'11", ,FR,"Lodi, WI"
11,11,Laura,De,S,Setter,5'7", ,JR,"Milan, Italy"
12,12,Jillian,Kuizenga,RS,RS,6'1", ,FR,"St. Charles, IL"
13,13,Morgan,Radtke,MB,Middle Blocker,6'2", ,FR,"Elk Mound, WI"
14,14,Olivia,Ghormley,OH,Outside Hitter,5'11", ,JR,"Oneida, WI"
15,15,Maggie,Petersen,DS,Defensive Specialist,5'7", ,SO,"Paw Paw, MI"
16,,,,,,, ,,""
17,17,Courtney,Kurkie,RS,RS,5'10", ,SR,"Plymouth, MI"
18,,,,,,, ,,""
19,19,Janie,Grindland,MB,Middle Blocker,6'0", ,SO,"Woodbury, MN"
20,,,,,,, ,,""
